timestamp,action,username,ticket,symbol,order_type,strategy,timeframe,open_price,close_price,sl,tp,pnl,net_pnl,result,roi_percent,duration_candles,reason
2026-06-30T09:40:03.785799+00:00,OPEN,8548490083,46526536,EURUSD,BUY,pulse,M1,1.1392,,1.1390571428571428,1.1394142857142857,0.0,0.0,,0.0,0,Signal Entry
2026-06-30T09:48:05.827730+00:00,OPEN,8548490083,13346108,GBPUSD,BUY,pulse,M15,1.32354,,1.3228028571428572,1.3246457142857142,0.0,0.0,,0.0,0,Signal Entry
2026-06-30T09:53:07.278254+00:00,OPEN,8548490083,9351150869,XAUUSD,BUY,pulse,M5,4022.05,,4018.155714285714,4027.5414285714282,0.0,0.0,,0.0,0,Signal Entry
2026-06-30T09:53:10.760600+00:00,OPEN,8548490083,9351153069,XAUEUR,BUY,pulse,M5,3532.31,,3524.9935714285716,3532.834642857143,0.0,0.0,,0.0,0,Signal Entry
2026-06-30T09:59:43.577998+00:00,CLOSE,8548490083,13346108,GBPUSD,BUY,pulse,M15,1.32354,1.32362,1.3228028571428572,1.3246457142857142,0.4,-0.09999999999999998,LOSS,-0.01,59,"Time Exit (60 candles, PnL: $0.40)"
2026-06-30T09:59:47.632030+00:00,OPEN,8548490083,22671544,GBPUSD,BUY,pulse,M15,1.32364,,1.3228957142857143,1.3247564285714284,0.0,0.0,,0.0,0,Signal Entry
2026-06-30T10:00:24.131658+00:00,OPEN,8548490083,47449589,EURUSD,BUY,pulse,M15,1.13973,,1.13905,1.14075,0.0,0.0,,0.0,0,Signal Entry
2026-06-30T10:01:48.473598+00:00,CLOSE,8548490083,9351150869,XAUUSD,BUY,pulse,M5,4022.05,4024.13,4018.155714285714,4027.5414285714282,10.4,9.9,PROFIT,0.99,59,"Time Exit (60 candles, PnL: $10.45)"
2026-06-30T10:01:48.827535+00:00,CLOSE,8548490083,9351153069,XAUEUR,BUY,pulse,M5,3532.31,3528.81,3524.9935714285716,3532.834642857143,-17.5,-18.0,LOSS,-1.8,59,"Time Exit (60 candles, PnL: $-17.65)"
2026-06-30T10:06:48.860192+00:00,CLOSE,8548490083,22671544,GBPUSD,BUY,pulse,M15,1.32364,1.32334,1.3228957142857143,1.3247564285714284,-1.5,-2.0,LOSS,-0.2,55,Trend Reversal (SELL signal)
2026-06-30T10:06:51.682549+00:00,OPEN,8548490083,53865466,GBPUSD,SELL,pulse,M15,1.32334,,1.3240371428571427,1.3222942857142856,0.0,0.0,,0.0,0,Signal Entry
2026-06-30T10:06:51.936497+00:00,OPEN,8548490083,31801554,GBPUSD,SELL,pulse,M1,1.32334,,1.3235071428571428,1.3230892857142857,0.0,0.0,,0.0,0,Signal Entry
2026-06-30T10:08:09.545239+00:00,CLOSE,8548490083,47449589,EURUSD,BUY,pulse,M15,1.13973,1.13951,1.13905,1.14075,-1.1,-1.6,LOSS,-0.16,59,"Time Exit (60 candles, PnL: $-1.10)"
